,mode_id,success,stable,severity,f_angle,f_freq,f_voltage,angle_sep_deg,freq_dev_hz,voltage_dip,sim_time
82,82,True,False,0.5565867101227312,0.4524558143148374,0.3244157145232158,0.9970194973380342,81.44204657667073,0.6488314290464317,0.9970194973380342,0.9378354549407959
83,83,True,False,0.6147094692039785,0.547071146675958,0.36767170343891564,0.9970238800250822,98.47280640167244,0.7353434068778313,0.9970238800250822,1.1543989181518555
84,84,True,False,0.8867865189830932,1.0,0.5501260189193253,0.9970200570130475,180.36671720626757,1.1002520378386507,0.9970200570130475,0.30063867568969727
85,85,True,False,0.4383272055416815,0.26018796157581286,0.23599195822177066,0.9969409407933296,46.83383308364631,0.4719839164435413,0.9969409407933296,1.1243648529052734
86,86,True,False,0.8364132161841037,1.0,0.34856498260105795,0.9970878821353568,182.1985762703739,0.6971299652021159,0.9970878821353568,0.2742295265197754
87,87,True,False,0.46512439821287505,0.30432681784520815,0.25487037566066206,0.9969735815004218,54.77882721213747,0.5097407513213241,0.9969735815004218,0.8872745037078857
88,88,True,False,0.8715920507267587,1.0,0.4893154076373527,0.9970527952696822,180.89238664394466,0.9786308152747054,0.9970527952696822,0.5456547737121582
89,89,True,False,0.5157758781270528,0.3863139351606414,0.2934776003090569,0.9969980418778718,69.53650832891545,0.5869552006181138,0.9969980418778718,0.9918582439422607
90,90,True,False,0.5152894121047398,0.3939835081186469,0.27616717221891207,0.997023459962753,70.91703146135644,0.5523343444378241,0.997023459962753,1.1711859703063965
91,91,True,False,0.8807833372983795,1.0,0.5261134344645555,0.9970199147289625,181.71180237427342,1.052226868929111,0.9970199147289625,0.3069009780883789
92,92,True,False,0.9578854601583289,0.9176785933976752,1.0,0.9961846538379651,165.18214681158153,3.5809685114045777,0.9961846538379651,1.0807807445526123
93,93,True,False,0.480837563602488,0.30341741199554534,0.3195463791617925,0.9969690512570689,54.615134159198156,0.639092758323585,0.9969690512570689,0.8932802677154541
94,94,True,False,0.8584560064331399,1.0,0.43669444016054015,0.9971295855720196,182.28572374824174,0.8733888803210803,0.9971295855720196,0.5529816150665283
95,95,True,False,0.8928960472877292,1.0,0.57459342987719,0.9969907592737266,181.1717997788678,1.14918685975438,0.9969907592737266,0.3681797981262207
